name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
universidad autonoma de madrid,universidad ean,62.2,92.9,universidad autonoma de madrid,partial_ratio,Universidad Autónoma de Madrid,Universidad Ean
ministry of health and population,ministry of health jordan,62.1,91.3,ministry of health and population,partial_ratio,Ministry of Health and Population,Ministry of Health - Jordan
ministry of health and sanitation,ministry of health jordan,62.1,91.3,ministry of health and sanitation,partial_ratio,Ministry of Health and Sanitation,Ministry of Health - Jordan
ministerio da educacao,ministerio da educacao nacional e ensino superior,62.0,100.0,ministerio da educacao,partial_ratio,Ministério da Educação,Ministério da Educação Nacional e Ensino Superior
ministry of health and social solidarity greece,ministry of health spain,62.0,93.3,ministry of health spain,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health - Spain
ministry of the environment and rural and marine environments spain,ministry of the environment italy,62.0,93.5,ministry of the environment and rural and marine environments spain,partial_ratio,Ministry of the Environment and Rural and Marine Environments - Spain,Ministry of the Environment - Italy
government of azerbaijan,government of mali,61.9,90.9,government of mali,partial_ratio,Government of Azerbaijan,Government of Mali
international development cooperation south africa,international development group,61.7,91.8,international development group,partial_ratio,International Development Cooperation - South Africa,International Development Group
united nations mission in nepal,united nations mission in the central african republic and chad,61.7,91.2,united nations mission in nepal,partial_ratio,United Nations Mission in Nepal,United Nations Mission in the Central African Republic and Chad
hamad bin khalifa university,hamad bin khalifa university college of science and engineering,61.5,100.0,hamad bin khalifa university college of science and engineering,partial_ratio,Hamad Bin Khalifa University,Hamad Bin Khalifa University College of Science and Engineering
ministry of industry,ministry of industry and trade czech republic,61.5,100.0,ministry of industry,partial_ratio,Ministry of Industry,Ministry of Industry and Trade - Czech Republic
ministry of interior and municipalities,ministry of interior libya,61.5,91.7,ministry of interior and municipalities,partial_ratio,Ministry of Interior and Municipalities,Ministry of Interior - Libya
ministerio da educacao nacional ciencia cultura juventude e desportos,ministerio de educacion nacional,61.4,92.1,ministerio da educacao nacional ciencia cultura juventude e desportos,partial_ratio,"Ministério da Educação Nacional, Ciência, Cultura, Juventude e Desportos",Ministerio de Educación Nacional
ministry of agriculture,ministry of agriculture forestry and fisheries japan,61.3,100.0,ministry of agriculture,partial_ratio,Ministry of Agriculture,"Ministry of Agriculture, Forestry and Fisheries - Japan"
universidad autonoma metropolitana,universidad ean,61.2,92.9,universidad autonoma metropolitana,partial_ratio,Universidad Autónoma Metropolitana,Universidad Ean
ministry of health and social solidarity greece,ministry of health angola,61.1,91.3,ministry of health angola,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health - Angola
ministry of health and social solidarity greece,ministry of health uganda,61.1,93.6,ministry of health uganda,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health - Uganda
hamad bin khalifa university,hamad bin khalifa university college of health and life sciences,60.9,100.0,hamad bin khalifa university,partial_ratio,Hamad Bin Khalifa University,Hamad Bin Khalifa University College of Health and Life Sciences
american bar association,american bar association fund for justice and education,60.8,100.0,american bar association,partial_ratio,American Bar Association,American Bar Association Fund for Justice and Education
ministry of health and public hygiene burkina faso,ministry of health and sports,60.8,90.6,ministry of health and sports,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health and Sports
international monetary fund,international monetary fund poverty reduction and growth trust,60.7,100.0,international monetary fund,partial_ratio,International Monetary Fund,International Monetary Fund Poverty Reduction and Growth Trust
universita degli studi di firenze,universita degli studi di roma tre dipartimento di studi aziendali,60.6,90.0,universita degli studi di firenze,partial_ratio,Università degli Studi di Firenze,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali
universita degli studi di roma tre dipartimento di studi aziendali,universita degli studi di trieste,60.6,90.0,universita degli studi di roma tre dipartimento di studi aziendali,partial_ratio,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali,Università degli Studi di Trieste
ministry of agriculture,ministry of agriculture and food security south sudan,60.5,100.0,ministry of agriculture,partial_ratio,Ministry of Agriculture,Ministry of Agriculture and Food Security (South Sudan)
ministere des mines,ministere des mines de l energie et de l eau,60.3,100.0,ministere des mines de l energie et de l eau,partial_ratio,Ministère des Mines,"Ministère des Mines, de l'Energie et de l'Eau"
united nations development program s community security and arms control project,united nations development programme,60.3,97.1,united nations development programme,partial_ratio,United Nations Development Program's Community Security and Arms Control Project,United Nations Development Programme
ministry of public works kuwait,ministry of public works transport and communications portugal,60.2,91.2,ministry of public works transport and communications portugal,partial_ratio,Ministry of Public Works - Kuwait,"Ministry of Public Works, Transport and Communications - Portugal"
international alert,international legal assistance consortium,60.0,91.4,international alert,partial_ratio,International Alert,International Legal Assistance Consortium
ministry of foreign affairs,ministry of foreign affairs and international cooperation italy,60.0,100.0,ministry of foreign affairs and international cooperation italy,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs and International Cooperation - Italy
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs greece,59.8,90.3,ministry of foreign affairs and international cooperation italy,partial_ratio,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs - Greece
fundacion codespa,fundacion desarrollo sostenido,59.6,90.3,fundacion desarrollo sostenido,partial_ratio,Fundación CODESPA,Fundación Desarrollo Sostenido
government of mali,government of walloon belgium,59.6,91.4,government of mali,partial_ratio,Government of Mali,Government of Walloon - Belgium
ministry of economy and finance,ministry of economy finance and industrial and digital sovereignty france,59.6,93.1,ministry of economy finance and industrial and digital sovereignty france,partial_ratio,Ministry of Economy and Finance,"Ministry of Economy, Finance and Industrial and Digital Sovereignty - France"
multilateral investment fund,multilateral investment fund small enterprise development facility,59.6,100.0,multilateral investment fund,partial_ratio,Multilateral Investment Fund,Multilateral Investment Fund - Small Enterprise Development Facility
united nations,united nations general trust fund,59.6,100.0,united nations,partial_ratio,United Nations,United Nations General Trust Fund
united nations,united nations peacebuilding fund,59.6,100.0,united nations,partial_ratio,United Nations,United Nations Peacebuilding Fund
universite de montreal,universite de montreal unite de sante internationale,59.5,100.0,universite de montreal,partial_ratio,Université de Montréal,Université de Montréal - Unité de santé internationale
government of south australia australia,government of south sudan,59.4,91.3,government of south sudan,partial_ratio,Government of South Australia - Australia,Government of South Sudan
ministry of interior,ministry of internal administration portugal,59.4,91.9,ministry of interior,partial_ratio,Ministry of Interior,Ministry of Internal Administration - Portugal
ministry of foreign affairs,ministry of foreign affairs european union and cooperation spain,59.3,100.0,ministry of foreign affairs european union and cooperation spain,partial_ratio,Ministry of Foreign Affairs,"Ministry of Foreign Affairs, European Union and Cooperation - Spain"
ministry of foreign affairs and international cooperation,ministry of foreign affairs norway,59.3,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Norway
ministry of foreign affairs and international cooperation,ministry of foreign affairs poland,59.3,95.4,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Poland
estonian rescue board,estonian rescue board ministry of interior estonia,59.2,100.0,estonian rescue board,partial_ratio,Estonian Rescue Board,"Estonian Rescue Board, Ministry of Interior - Estonia"
ministry of education,ministry of education and religious affairs greece,59.2,100.0,ministry of education,partial_ratio,Ministry of Education,Ministry of Education and Religious Affairs - Greece
ministry of foreign affairs european union and cooperation spain,ministry of foreign affairs norway,59.2,90.3,ministry of foreign affairs norway,partial_ratio,"Ministry of Foreign Affairs, European Union and Cooperation - Spain",Ministry of Foreign Affairs - Norway
universita degli studi di roma tre dipartimento di studi aziendali,universita degli studi di trento,59.2,93.3,universita degli studi di roma tre dipartimento di studi aziendali,partial_ratio,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali,Università degli Studi di Trento
public sector,public sector lunds universitet,59.1,100.0,public sector lunds universitet,partial_ratio,PUBLIC SECTOR,Public sector Lunds Universitet
international alert,international legal assisitance consortium,59.0,91.4,international alert,partial_ratio,International Alert,International Legal Assisitance Consortium
ministry of health,ministry of health and care services norway,59.0,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health and Care Services - Norway
ministere des affaires etrangeres,ministere des affaires etrangeres et de la cooperation au developpement burundi,58.9,100.0,ministere des affaires etrangeres,partial_ratio,Ministère des Affaires Étrangères,Ministère des Affaires Etrangères et de la Coopération au Développement - Burundi
university of pecs,university of southern california,58.8,90.9,university of southern california,partial_ratio,University of Pécs,University of Southern California
american association for the advancement of science,american bar association,58.7,90.9,american association for the advancement of science,partial_ratio,American Association for the Advancement of Science,American Bar Association
ministry of foreign affairs and international cooperation,ministry of foreign affairs romania,58.7,92.3,ministry of foreign affairs romania,partial_ratio,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Romania
ministry of health and public hygiene burkina faso,ministry of health angola,58.7,91.3,ministry of health and public hygiene burkina faso,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health - Angola
universita degli studi di roma tre dipartimento di studi aziendali,universita degli studi di sassari,58.6,90.0,universita degli studi di roma tre dipartimento di studi aziendali,partial_ratio,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali,Università degli Studi di Sassari
university of calgary financial services,university of pecs,58.6,90.9,university of calgary financial services,partial_ratio,University of Calgary Financial Services,University of Pécs
johns hopkins university,johns hopkins university bloomberg school of public health,58.5,100.0,johns hopkins university,partial_ratio,Johns Hopkins University,Johns Hopkins University Bloomberg School of Public Health
ministry of justice,ministry of justice and public security norway,58.5,100.0,ministry of justice and public security norway,partial_ratio,Ministry of Justice,Ministry of Justice and Public Security - Norway
european union,european union regional trust fund,58.3,100.0,european union,partial_ratio,European Union,European Union Regional Trust Fund
fundacion codespa,fundacion desarrollo sostenible,58.3,90.3,fundacion codespa,partial_ratio,Fundación CODESPA,Fundación Desarrollo Sostenible
united nations,united nations geneva general fund,58.3,100.0,united nations,partial_ratio,United Nations,United Nations Geneva General Fund
united nations,united nations mine action service,58.3,100.0,united nations,partial_ratio,United Nations,United Nations Mine Action Service
universidad autonoma de occidente,universidad ean,58.3,92.9,universidad ean,partial_ratio,Universidad Autónoma de Occidente,Universidad Ean
university of california davis,university of pecs,58.3,90.9,university of california davis,partial_ratio,"University of California, Davis",University of Pécs
international alert,international fertilizer development center,58.1,91.9,international fertilizer development center,partial_ratio,International Alert,International Fertilizer Development Center
united nations development program s community security and arms control project,united nations development programme mali,57.9,92.1,united nations development programme mali,partial_ratio,United Nations Development Program's Community Security and Arms Control Project,United Nations Development Programme Mali
government of austria,government of mauritania,57.8,90.5,government of austria,partial_ratio,Government of Austria,Government of Mauritania
ministere de l environnement,ministere de l environnement de l agriculture et de l elevage burundi,57.7,100.0,ministere de l environnement de l agriculture et de l elevage burundi,partial_ratio,Ministère de l'Environnement,"Ministère de l'environnement, de l'agriculture et de l'élevage - Burundi"
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs norway,57.7,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs - Norway
ministry of foreign affairs european union and cooperation spain,ministry of foreign affairs japan,57.7,91.8,ministry of foreign affairs japan,partial_ratio,"Ministry of Foreign Affairs, European Union and Cooperation - Spain",Ministry of Foreign Affairs - Japan
ministry of finance,ministry of finance and economic planning sudan,57.6,100.0,ministry of finance,partial_ratio,Ministry of Finance,Ministry of Finance and Economic Planning - Sudan
world health organization,world health organization core voluntary contributions account,57.5,100.0,world health organization,partial_ratio,World Health Organization,World Health Organization Core Voluntary Contributions Account
ministry of agriculture france,ministry of agriculture rural development and fisheries portugal,57.4,90.9,ministry of agriculture france,partial_ratio,Ministry of Agriculture - France,"Ministry of Agriculture, Rural Development and Fisheries - Portugal"
comite d aide medicale,comite d aide medicale et de parrainage sans frontieres,57.1,100.0,comite d aide medicale,partial_ratio,Comité d'Aide Médicale,Comité d'Aide Médicale et de parrainage sans frontiéres
ministere du developpement rural,ministere du developpement social de la solidarite et des personnes agees,57.1,91.5,ministere du developpement rural,partial_ratio,Ministère du Développement Rural,Ministère du Développement Social de la Solidarité et des personnes agées
ministry of foreign affairs european union and cooperation spain,ministry of foreign affairs greece,57.1,92.1,ministry of foreign affairs european union and cooperation spain,partial_ratio,"Ministry of Foreign Affairs, European Union and Cooperation - Spain",Ministry of Foreign Affairs - Greece
sentinel project,sentinel project for genocide prevention,57.1,100.0,sentinel project for genocide prevention,partial_ratio,Sentinel Project,Sentinel Project for Genocide Prevention
united nations,united nations mission in the sudan,57.1,100.0,united nations,partial_ratio,United Nations,United Nations Mission in the Sudan
united nations,united nations system staff college,57.1,100.0,united nations,partial_ratio,United Nations,United Nations System Staff College
universita degli studi di foggia,universita degli studi di roma tre dipartimento di studi aziendali,57.1,90.3,universita degli studi di roma tre dipartimento di studi aziendali,partial_ratio,Università degli Studi di Foggia,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali
ministry of education,ministry of education and scientific research romania,56.8,100.0,ministry of education,partial_ratio,Ministry of Education,Ministry of Education and Scientific Research - Romania
ministry of education,ministry of education youth and sports czech republic,56.8,100.0,ministry of education,partial_ratio,Ministry of Education,"Ministry of Education, Youth, and Sports - Czech Republic"
ministry of health and public hygiene burkina faso,ministry of health spain,56.8,93.3,ministry of health spain,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health - Spain
swedish institute,swedish institute for public administration,56.7,100.0,swedish institute,partial_ratio,The Swedish Institute,Swedish Institute for Public Administration
universita degli studi di brescia,universita degli studi di roma tre dipartimento di studi aziendali,56.6,90.0,universita degli studi di roma tre dipartimento di studi aziendali,partial_ratio,Università degli Studi di Brescia,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali
ministry of finance and economic development somaliland,ministry of finance drc,56.4,93.0,ministry of finance drc,partial_ratio,Ministry of Finance and Economic Development - Somaliland,Ministry of Finance - DRC
asociacion de autoridades indigenas,asociacion deme,56.0,92.9,asociacion de autoridades indigenas,partial_ratio,Asociación de Autoridades Indígenas,Asociación Demé
united nations,united nations association in canada,56.0,100.0,united nations,partial_ratio,United Nations,United Nations Association in Canada
united nations,united nations children s fund sudan,56.0,100.0,united nations,partial_ratio,United Nations,United Nations Children's Fund Sudan
united nations,united nations development programme,56.0,100.0,united nations development programme,partial_ratio,United Nations,United Nations Development Programme
united nations,united nations environment programme,56.0,100.0,united nations,partial_ratio,United Nations,United Nations Environment Programme
african development bank,african development foundation united states,55.9,90.9,african development bank,partial_ratio,African Development Bank,African Development Foundation - United States
ministry of health and care services norway,ministry of health uganda,55.9,93.6,ministry of health uganda,partial_ratio,Ministry of Health and Care Services - Norway,Ministry of Health - Uganda
international criminal court,international criminal police organization interpol,55.7,90.6,international criminal police organization interpol,partial_ratio,International Criminal Court,International Criminal Police Organization - INTERPOL
ministere de l environnement de l agriculture et de l elevage burundi,ministere de l’environnement,55.7,96.4,ministere de l environnement de l agriculture et de l elevage burundi,partial_ratio,"Ministère de l'environnement, de l'agriculture et de l'élevage - Burundi",Ministère de l’Environnement
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs poland,55.7,95.4,ministry of foreign affairs and international cooperation italy,partial_ratio,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs - Poland
ministry of health,ministry of health and social solidarity greece,55.4,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health and Social Solidarity - Greece
university of engineering and technology,university of pecs,55.2,90.9,university of engineering and technology,partial_ratio,University of Engineering and Technology,University of Pécs
ministere des infrastructures et du desenclavement,ministere des mines,55.1,91.4,ministere des infrastructures et du desenclavement,partial_ratio,Ministère des Infrastructures et du Désenclavement,Ministère des Mines
ministry of foreign affairs and international cooperation italy,ministry of foreign affairs romania,55.1,92.3,ministry of foreign affairs and international cooperation italy,partial_ratio,Ministry of Foreign Affairs and International Cooperation - Italy,Ministry of Foreign Affairs - Romania
ministry of foreign affairs european union and cooperation spain,ministry of foreign affairs latvia,55.1,90.3,ministry of foreign affairs european union and cooperation spain,partial_ratio,"Ministry of Foreign Affairs, European Union and Cooperation - Spain",Ministry of Foreign Affairs - Latvia
universite de montreal,universite de montreal service de l admission et du recrut,55.0,100.0,universite de montreal,partial_ratio,Université de Montréal,Universite De Montreal Service de L'Admission et du Recrut
government of malta,government of tasmania australia,54.9,91.4,government of malta,partial_ratio,Government of Malta,Government of Tasmania - Australia
united nations,united nations mission in south sudan,54.9,100.0,united nations,partial_ratio,United Nations,United Nations Mission in South Sudan
transparency international,transparency international sierra leone national accountability group,54.7,100.0,transparency international,partial_ratio,Transparency International,Transparency International Sierra Leone- National Accountability Group
alternative society organisation,alternatives,54.5,95.7,alternatives,partial_ratio,Alternative Society Organisation,Alternatives
united nations university,united nations university institute for natural resources in africa,54.3,100.0,united nations university,partial_ratio,United Nations University,United Nations University Institute for Natural Resources in Africa
asociacion amigos de mali danaya,asociacion minga,54.2,90.3,asociacion minga,partial_ratio,Asociacion Amigos De Mali Danaya,Asociación Minga
fundacion esar,fundacion escuela taller de bogota,54.2,92.3,fundacion escuela taller de bogota,partial_ratio,Fundación ESAR,Fundación Escuela taller de Bogotá
fundacion esar,fundacion santo domingo,54.1,92.3,fundacion santo domingo,partial_ratio,Fundación ESAR,Fundación Santo Domingo
ministry of health and public hygiene burkina faso,ministry of health italy,54.1,90.9,ministry of health and public hygiene burkina faso,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health - Italy
ministry of health and public hygiene burkina faso,ministry of health libya,54.1,90.9,ministry of health and public hygiene burkina faso,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health - Libya
ministere de l’environnement,ministere de l’environnement de l’assainissement et du developpement durable,53.8,100.0,ministere de l’environnement de l’assainissement et du developpement durable,partial_ratio,Ministère de l’Environnement,"Ministere de l’Environnement, de l’Assainissement et du Développement Durable"
ministerio da educacao,ministerio de educacion nacional y formacion profesional,53.8,90.9,ministerio de educacion nacional y formacion profesional,partial_ratio,Ministério da Educação,Ministerio de Educación Nacional y Formación Profesional
ministry of education,ministry of education science research and sport slovakia,53.8,100.0,ministry of education science research and sport slovakia,partial_ratio,Ministry of Education,"Ministry of Education, Science, Research and Sport - Slovakia"
ministry of transport and sustainable mobility spain,ministry of transportation,53.8,92.0,ministry of transport and sustainable mobility spain,partial_ratio,Ministry of Transport and Sustainable Mobility - Spain,Ministry of Transportation
united nations,united nations office for partnerships,53.8,100.0,united nations,partial_ratio,United Nations,United Nations Office for Partnerships
universita di bologna,universita di bologna polo scientifco didattiico di forli,53.8,100.0,universita di bologna,partial_ratio,Università di Bologna,Universita Di Bologna - Polo Scientifco DidattIico Di Forli'
ministry of energy,ministry of energy water resources and irrigation,53.7,100.0,ministry of energy,partial_ratio,Ministry of Energy,"Ministry of Energy, Water Resources and Irrigation"
ministry of health and care services norway,ministry of health italy,53.7,90.9,ministry of health and care services norway,partial_ratio,Ministry of Health and Care Services - Norway,Ministry of Health - Italy
ministry of health and care services norway,ministry of health libya,53.7,90.9,ministry of health and care services norway,partial_ratio,Ministry of Health and Care Services - Norway,Ministry of Health - Libya
government of australian capital territory,government of chad,53.3,90.9,government of chad,partial_ratio,Government of Australian Capital Territory,Government of Chad
ministry of health and public hygiene burkina faso,ministry of health jordan,53.3,91.3,ministry of health and public hygiene burkina faso,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health - Jordan
ministry of health and public hygiene burkina faso,ministry of health uganda,53.3,93.6,ministry of health uganda,partial_ratio,Ministry of Health and Public Hygiene - Burkina Faso,Ministry of Health - Uganda
international development group,international development programme of the danish youth council,53.2,93.3,international development group,partial_ratio,International Development Group,International Development Programme of the Danish Youth Council
ministry of education,ministry of education higher education and research france,53.2,100.0,ministry of education higher education and research france,partial_ratio,Ministry of Education,"Ministry of Education, Higher Education and Research - France"
asociacion deme,asociacion medicus mundi andalucia,53.1,92.9,asociacion medicus mundi andalucia,partial_ratio,Asociación Demé,Asociacion Medicus Mundi Andalucia
university of pecs,university of western australia,53.1,91.4,university of western australia,partial_ratio,University of Pécs,University of Western Australia
ministry of agriculture,ministry of agriculture rural development and fisheries portugal,52.9,100.0,ministry of agriculture,partial_ratio,Ministry of Agriculture,"Ministry of Agriculture, Rural Development and Fisheries - Portugal"
ministry of health,ministry of health and public hygiene burkina faso,52.9,100.0,ministry of health,partial_ratio,Ministry of Health,Ministry of Health and Public Hygiene - Burkina Faso
ministry of health and care services norway,ministry of health jordan,52.9,91.3,ministry of health and care services norway,partial_ratio,Ministry of Health and Care Services - Norway,Ministry of Health - Jordan
united nations,united nations capital development fund,52.8,100.0,united nations,partial_ratio,United Nations,United Nations Capital Development Fund
united nations,united nations humanitarian air service,52.8,100.0,united nations,partial_ratio,United Nations,United Nations Humanitarian Air Service
united nations,united nations interim force in lebanon,52.8,100.0,united nations,partial_ratio,United Nations,United Nations Interim Force in Lebanon
united nations,united nations peacebuilding commission,52.8,100.0,united nations,partial_ratio,United Nations,United Nations Peacebuilding Commission
asociacion de productores del medio atrato,asociacion deme,52.6,92.9,asociacion deme,partial_ratio,Asociación De Productores Del Medio Atrato,Asociación Demé
united nations university,united nations university institute for environment and human security,52.6,100.0,united nations university institute for environment and human security,partial_ratio,United Nations University,United Nations University Institute for Environment and Human Security
fundacion esar,fundacion santa fe de bogota,52.4,92.3,fundacion santa fe de bogota,partial_ratio,Fundación ESAR,Fundación Santa Fe de Bogotá
ministry of energy,ministry of enterprises and made in italy italy,52.3,91.4,ministry of energy,partial_ratio,Ministry of Energy,Ministry of Enterprises and Made in Italy - Italy
ministry of culture,ministry of culture national heritage and sport poland,52.1,100.0,ministry of culture,partial_ratio,Ministry of Culture,"Ministry of Culture, National Heritage and Sport - Poland"
universite de moncton,universite de montreal unite de sante internationale,52.1,92.3,universite de moncton,partial_ratio,Université de Moncton,Université de Montréal - Unité de santé internationale
ministry of agriculture,ministry of culture national heritage and sport poland,51.9,90.5,ministry of agriculture,partial_ratio,Ministry of Agriculture,"Ministry of Culture, National Heritage and Sport - Poland"
united nations,united nations alliance of civilizations,51.9,100.0,united nations,partial_ratio,United Nations,United Nations Alliance of Civilizations
united nations,united nations office on drugs and crime,51.9,100.0,united nations,partial_ratio,United Nations,United Nations Office on Drugs and Crime
united nations,united nations support office in somalia,51.9,100.0,united nations,partial_ratio,United Nations,United Nations Support Office in Somalia
federal ministry of health,federal ministry of the interior building and community germany,51.7,91.7,federal ministry of the interior building and community germany,partial_ratio,Federal Ministry of Health,Federal Ministry of the Interior Building and Community - Germany
international alert,international partnership for human development,51.5,91.9,international alert,partial_ratio,International Alert,International Partnership for Human Development
fundacion ecociencia,fundacion recon,51.4,92.9,fundacion ecociencia,partial_ratio,Fundación EcoCiencia,Fundación Recon
ministry of finance,ministry of finance and economic development somaliland,51.4,100.0,ministry of finance,partial_ratio,Ministry of Finance,Ministry of Finance and Economic Development - Somaliland
ministry of planning investment and economic development,ministry of planning niger,51.2,91.7,ministry of planning niger,partial_ratio,"Ministry of Planning, Investment and Economic Development",Ministry of Planning - Niger
government of italy,government of tasmania australia,51.0,91.4,government of italy,partial_ratio,Government of Italy,Government of Tasmania - Australia
universita degli studi di roma tre dipartimento di studi aziendali,universita degli studi di verona,51.0,93.5,universita degli studi di roma tre dipartimento di studi aziendali,partial_ratio,Università degli Studi di Roma Tre - Dipartimento di Studi Aziendali,Università degli Studi di Verona
united nations,united nations development fund for women,50.9,100.0,united nations,partial_ratio,United Nations,United Nations Development Fund for Women
united nations,united nations development programme mali,50.9,100.0,united nations,partial_ratio,United Nations,United Nations Development Programme Mali
united nations,united nations operation in cote d ivoire,50.9,100.0,united nations,partial_ratio,United Nations,United Nations Operation in Côte d'Ivoire
asociacion de campesinos de la vereda palmas,asociacion deme,50.8,92.9,asociacion de campesinos de la vereda palmas,partial_ratio,Asociación de Campesinos de la Vereda Palmas,Asociación Demé
union des producteurs agricoles,union des societes cooperatives coop ca bako sene yiriwaton des producteurs agricoles de sy,50.8,90.3,union des producteurs agricoles,partial_ratio,Union des producteurs agricoles,Union des Societes Cooperatives COOP CA Bako Sene Yiriwaton des Producteurs Agricoles de Sy
ministry of health and social solidarity greece,ministry of health italy,50.7,90.9,ministry of health italy,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health - Italy
ministry of health and social solidarity greece,ministry of health libya,50.7,90.9,ministry of health libya,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health - Libya
dalhousie university,dalhousie university international research and development,50.6,100.0,dalhousie university international research and development,partial_ratio,Dalhousie University,Dalhousie University International Research and Development
ministere de l environnement,ministere de l’environnement de l’assainissement et du developpement durable,50.0,96.4,ministere de l’environnement de l’assainissement et du developpement durable,partial_ratio,Ministère de l'Environnement,"Ministere de l’Environnement, de l’Assainissement et du Développement Durable"
ministry of health and social solidarity greece,ministry of health jordan,50.0,91.3,ministry of health jordan,partial_ratio,Ministry of Health and Social Solidarity - Greece,Ministry of Health - Jordan
organisation ouest africaine de la sante,organisation uru,50.0,90.3,organisation ouest africaine de la sante,partial_ratio,Organisation Ouest Africaine de la Santé,Organisation Uru
united nations,united nations development programme sudan,50.0,100.0,united nations,partial_ratio,United Nations,United Nations Development Programme Sudan
united nations,united nations development programme syria,50.0,100.0,united nations,partial_ratio,United Nations,United Nations Development Programme Syria
united nations,united nations human settlements programme,50.0,100.0,united nations,partial_ratio,United Nations,United Nations Human Settlements Programme
united nations,united nations office for project services,50.0,100.0,united nations,partial_ratio,United Nations,United Nations Office for Project Services
universidad ean,universidad nacional de educacion a distancia,50.0,92.9,universidad ean,partial_ratio,Universidad Ean,Universidad Nacional de Educación a Distancia
universite de montreal,universite de montreal office of research services and development,50.0,100.0,universite de montreal,partial_ratio,Université de Montréal,Université de Montréal - Office of Research Services and Development
united nations,united nations political office for somalia,49.1,100.0,united nations,partial_ratio,United Nations,United Nations Political Office for Somalia
fundacion concordia y libertad,fundacion recon,48.9,92.9,fundacion concordia y libertad,partial_ratio,Fundación Concordia y Libertad,Fundación Recon
ministerio da educacao,ministerio da educacao nacional ciencia cultura juventude e desportos,48.4,100.0,ministerio da educacao nacional ciencia cultura juventude e desportos,partial_ratio,Ministério da Educação,"Ministério da Educação Nacional, Ciência, Cultura, Juventude e Desportos"
universidad ean,universidad nacional autonoma de nicaragua leon,48.4,92.9,universidad ean,partial_ratio,Universidad Ean,"Universidad Nacional Autonoma de Nicaragua, León"
united nations,united nations assistance mission in somalia,48.3,100.0,united nations,partial_ratio,United Nations,United Nations Assistance Mission in Somalia
united nations,united nations sustainable development group,48.3,100.0,united nations,partial_ratio,United Nations,United Nations Sustainable Development Group
universite de moncton,universite de montreal service de l admission et du recrut,48.1,92.3,universite de moncton,partial_ratio,Université de Moncton,Universite De Montreal Service de L'Admission et du Recrut
asociacion de regiones fronterizas de europa,asociacion deme,47.5,92.9,asociacion deme,partial_ratio,Asociación de Regiones Fronterizas de Europa,Asociación Demé
united nations,united nations department of peace operations,47.5,100.0,united nations,partial_ratio,United Nations,United Nations Department of Peace Operations
united nations,united nations high commissioner for refugees,47.5,100.0,united nations,partial_ratio,United Nations,United Nations High Commissioner for Refugees
united nations,united nations office for disarmament affairs,47.5,100.0,united nations,partial_ratio,United Nations,United Nations Office for Disarmament Affairs
united nations,united nations stabilization mission in haiti,47.5,100.0,united nations,partial_ratio,United Nations,United Nations Stabilization Mission in Haiti
united nations voluntary trust fund on contemporary forms of slavery,united nations volunteers,47.3,91.7,united nations volunteers,partial_ratio,United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,United Nations Volunteers
canadian association for mine and explosive ordnance security,canadian bar association,47.1,90.9,canadian bar association,partial_ratio,Canadian Association for Mine and Explosive Ordnance Security,Canadian Bar Association
