name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministry of agriculture and food security,ministry of agriculture and food security south sudan,87.2,100.0,ministry of agriculture and food security,token_sort,Ministry of Agriculture and Food Security,Ministry of Agriculture and Food Security (South Sudan)
ministry of education science and technology,ministry of science and technology,87.2,83.3,ministry of education science and technology,token_sort,"Ministry of Education, Science and Technology",Ministry of Science and Technology
cooperazione internazionale,cooperazione internazionale sud sud,87.1,100.0,cooperazione internazionale,token_sort,Cooperazione Internazionale,Cooperazione Internazionale Sud Sud
embassy of the republic of poland in amman,embassy of the republic of poland in beirut,87.1,93.7,embassy of the republic of poland in beirut,token_sort,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Beirut
ministry of foreign affairs,ministry of foreign affairs belgium,87.1,100.0,ministry of foreign affairs belgium,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Belgium
ministry of foreign affairs,ministry of foreign affairs denmark,87.1,100.0,ministry of foreign affairs denmark,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Denmark
ministry of foreign affairs,ministry of foreign affairs estonia,87.1,100.0,ministry of foreign affairs estonia,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs,ministry of foreign affairs romania,87.1,100.0,ministry of foreign affairs romania,token_sort,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Romania
ministry of health czech republic,ministry of public health drc,87.1,81.6,ministry of public health drc,token_sort,Ministry of Health - Czech Republic,Ministry of Public Health - DRC
international organization for migration,international organization for migration timor leste,87.0,100.0,international organization for migration,token_sort,International Organization for Migration,International Organization for Migration Timor-Leste
ministry of interior,ministry of interior libya,87.0,100.0,ministry of interior,token_sort,Ministry of Interior,Ministry of Interior - Libya
ministry of interior,ministry of interior spain,87.0,100.0,ministry of interior spain,token_sort,Ministry of Interior,Ministry of Interior - Spain
oxfam italia,oxfam italy,87.0,95.2,oxfam italia,token_sort,Oxfam Italia,Oxfam Italy
svenska missionsforbundet,svenska missionsradet,87.0,86.5,svenska missionsforbundet,token_sort,Svenska Missionsförbundet,Svenska Missionsrådet
european union capacity building mission in mali,european union capacity building mission in somalia,86.9,95.8,european union capacity building mission in mali,token_sort,European Union Capacity Building Mission in Mali,European Union Capacity Building Mission in Somalia
avocats sans frontieres,avocats sans frontieres canada,86.8,100.0,avocats sans frontieres,token_sort,Avocats Sans Frontieres|Avocats Sans Frontières,Avocats Sans Frontières Canada
federal ministry for environment nature conservation and nuclear safety germany,federal ministry for the environment nature conservation nuclear safety and consumer protection germany,86.8,91.5,federal ministry for environment nature conservation and nuclear safety germany,token_sort,"Federal Ministry for Environment, Nature Conservation and Nuclear Safety - Germany","Federal Ministry for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection - Germany"
