cleaned_name,n_raw_variants,raw_variants
asociacion de usuarios del distrito de adecuacion de tierras de pequena escala san miguel de cariaco,1,Asociación de Usuarios del Distrito de Adecuacion de Tierras de Pequena Escala San Miguel De Cariaco
asociacion de victimas por la paz y el desarrollo,1,Asociación de Victimas por la Paz y el Desarrollo
asociacion deme,1,Asociación Demé
asociacion expresarte colombia,1,Asociación Expresarte Colombia
asociacion medicus mundi andalucia,1,Asociacion Medicus Mundi Andalucia
asociacion minga,1,Asociación Minga
asociacion mundial para la ayuda a los pueblos necesitados,1,Asociación Mundial para la Ayuda a los Pueblos Necesitados
asociacion nacional de afrocolombianos desplazados,1,Asociación Nacional de Afrocolombianos Desplazados
asociacion navarra nuevo futuro,1,Asociación Navarra Nuevo Futuro
asociacion palmira de apoyo al pueblo sirio,1,Asociación Palmira de Apoyo al Pueblo Sirio
asociacion para el desarrollo campesino pasto,1,Asociación para el Desarrollo Campesino Pasto
asociacion para el desarrollo y la accion social solidaria,1,Asociación Para el Desarrollo y la Acción Social Solidaria
asociacion para el estudio y conservacion de las aves acuaticas en colombia,1,Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia
asociacion para las investigaciones culturales del choco,1,Asociación Para Las Investigaciones Culturales del Chocó
asociacion primatologica colombiana,1,Asociación Primatológica Colombiana
asociacion pro fundacion para las ciencias sociales,1,Asociación Pro-Fundación para las Ciencias Sociales
asociacion provivienda,1,Asociación Provivienda
asociacion proyde,1,ASOCIACIÓN PROYDE
asociacion pueblo y dignidad,1,Asociación Pueblo y Dignidad
asociacion solidaridad con guinea bissau,1,Asociación Solidaridad con Guinea Bissau
asociacion vamos mujeres de san francisco de icho,1,Asociación Vamos Mujeres de San Francisco de Ichó
aspen institute mexico,1,Aspen Institute México
assembleia nacional popular,1,Assembleia Nacional Popular
assembly of first nations,1,Assembly of First Nations
assembly social bashhim,1,Assembly Social Bashhim
assessment and evaluation commission,1,The Assessment and Evaluation Commission
associacio accio internacional per la pau,1,Associació Acció Internacional per la Pau
associacio catalana per la pau,1,Associació Catalana per la Pau
associacio pa i mel de sa pobla,1,Associacio Pa I Mel De Sa Pobla
association ashghalouna,1,Association Ashghalouna
association bonne semence pour le developpment et la paix,1,Association Bonne Semence pour le Developpment et la Paix
association burundaise pour la protection des droits humains et des personnes detenues,1,Association Burundaise pour la Protection des Droits Humains et des Personnes Détenues
association burundaise pour le bien etre familial,1,Association Burundaise pour le Bien-Etre Familial
association clinique juridique deme so,1,Association Clinique Juridique DEME-SO
association communale des femmes productrices d oigon echalote jaba sene ton de sebougou,1,Association Communale des Femmes Productrices d'Oigon/Echalote Jaba Sene Ton de Sebougou
association d aide des techniciens pour les personnes handicapees,1,Association d'Aide des Techniciens pour les Personnes Handicapées
association de cooperation pour le developpement,1,Association de Cooperation pour le Developpement
association de formation et d appui au developpement,1,Association de Formation et d Appui au Developpement
association de lutte contre la pauvrete,1,Association de Lutte Contre la Pauvreté
association de lutte contre les violences faites aux femmes alvf,1,Association de Lutte contre les Violences faites aux Femmes (ALVF)
association deme so,1,Association DEME-SO
association des amis pour le developpement,1,Association des Amis pour le Développement
