name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
ministry of agriculture,ministry of culture,90.5,78.9,no,ministry of culture,country_name_swap,Ministry of Agriculture,Ministry of Culture
ministry of finance,ministry of finance drc,90.5,100.0,no,ministry of finance drc,coder_rejected,Ministry of Finance,Ministry of Finance - DRC
ministry of health and population,ministry of public health and population,90.4,80.7,no,ministry of health and population,coder_rejected,Ministry of Health and Population,Ministry of Public Health and Population
comunita di sant egidio,comunita di sant egidio acap,90.2,100.0,no,comunita di sant egidio acap,coder_rejected,Comunità di Sant'Egidio,Comunità di Sant'Egidio - ACAP
economic research forum,economic research forum npio,90.2,100.0,no,economic research forum npio,coder_rejected,Economic Research Forum,Economic Research Forum NPIO
office of the president,office of the vice president,90.2,78.3,no,office of the vice president,coder_rejected,Office of the President,Office of the Vice President
united nations high commissioner for refugees italy committee,united nations high commissioner for refugees spain committee,90.2,93.4,no,united nations high commissioner for refugees spain committee,differentiating_word,United Nations High Commissioner for Refugees - Italy Committee,United Nations High Commissioner for Refugees - Spain Committee
ministere de la sante et de la population,ministere de la sante publique et de la population,90.1,78.0,no,ministere de la sante et de la population,coder_rejected,Ministère de la Santé et de la Population,Ministère de la Santé Publique et de la Population
ministry of agriculture and food security,ministry of agriculture forestry and food security,90.1,79.5,no,ministry of agriculture forestry and food security,coder_rejected,Ministry of Agriculture and Food Security,"Ministry of Agriculture, Forestry and Food Security"
ministry of foreign affairs latvia,ministry of foreign affairs lithuania,90.1,93.8,no,ministry of foreign affairs lithuania,country_name_swap,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Lithuania
government of liberia,government of libya,90.0,94.4,no,government of libya,country_name_swap,Government of Liberia,Government of Libya
ministry of foreign affairs,ministry of foreign affairs japan,90.0,100.0,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Japan
world vision finland,world vision ireland,90.0,90.0,no,world vision ireland,country_name_swap,World Vision Finland,World Vision Ireland
federation genevoise de cooperation,federation vaudoise de cooperation,89.9,88.2,no,federation genevoise de cooperation,coder_rejected,Fédération Genevoise de Coopération,Fédération vaudoise de coopération
