name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
ministry of foreign affairs,ministry of foreign affairs estonia,87.1,100.0,no,ministry of foreign affairs estonia,coder_rejected,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Estonia
ministry of foreign affairs,ministry of foreign affairs romania,87.1,100.0,no,ministry of foreign affairs romania,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Romania
ministry of health czech republic,ministry of public health drc,87.1,81.6,no,ministry of public health drc,differentiating_word,Ministry of Health - Czech Republic,Ministry of Public Health - DRC
international organization for migration,international organization for migration timor leste,87.0,100.0,no,international organization for migration,coder_rejected,International Organization for Migration,International Organization for Migration Timor-Leste
ministry of interior,ministry of interior libya,87.0,100.0,no,ministry of interior,coder_rejected,Ministry of Interior,Ministry of Interior - Libya
ministry of interior,ministry of interior spain,87.0,100.0,no,ministry of interior spain,differentiating_word,Ministry of Interior,Ministry of Interior - Spain
oxfam italia,oxfam italy,87.0,95.2,no,oxfam italia,country_name_swap,Oxfam Italia,Oxfam Italy
svenska missionsforbundet,svenska missionsradet,87.0,86.5,no,svenska missionsforbundet,country_name_swap,Svenska Missionsförbundet,Svenska Missionsrådet
european union capacity building mission in mali,european union capacity building mission in somalia,86.9,95.8,no,european union capacity building mission in mali,country_name_swap,European Union Capacity Building Mission in Mali,European Union Capacity Building Mission in Somalia
avocats sans frontieres,avocats sans frontieres canada,86.8,100.0,no,avocats sans frontieres,differentiating_word,Avocats Sans Frontieres|Avocats Sans Frontières,Avocats Sans Frontières Canada
federal ministry for environment nature conservation and nuclear safety germany,federal ministry for the environment nature conservation nuclear safety and consumer protection germany,86.8,91.5,no,federal ministry for environment nature conservation and nuclear safety germany,coder_rejected,"Federal Ministry for Environment, Nature Conservation and Nuclear Safety - Germany","Federal Ministry for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection - Germany"
international potato center,international trade center,86.8,84.6,no,international potato center,coder_rejected,International Potato Center,International Trade Center
ministry of agriculture,ministry of agriculture france,86.8,100.0,no,ministry of agriculture france,differentiating_word,Ministry of Agriculture,Ministry of Agriculture - France
ministry of border affairs,ministry of foreign affairs,86.8,84.6,no,ministry of border affairs,coder_rejected,Ministry of Border Affairs,Ministry of Foreign Affairs
ministry of mines and mineral resources,ministry of oil and mineral resources,86.8,89.2,no,ministry of mines and mineral resources,coder_rejected,Ministry of Mines and Mineral Resources,Ministry of Oil and Mineral Resources
royal norwegian embassy,royal norwegian embassy asmara,86.8,100.0,no,royal norwegian embassy,coder_rejected,Royal Norwegian Embassy,"Royal Norwegian Embassy, Asmara"
royal norwegian embassy,royal norwegian embassy beirut,86.8,100.0,no,royal norwegian embassy,coder_rejected,Royal Norwegian Embassy,"Royal Norwegian Embassy, Beirut"
royal norwegian embassy,royal norwegian embassy london,86.8,100.0,no,royal norwegian embassy,coder_rejected,Royal Norwegian Embassy,"Royal Norwegian Embassy, London"
international aid services,international aid services danmark,86.7,100.0,no,international aid services danmark,coder_rejected,International Aid Services,International Aid Services Danmark
italian agency for development cooperation dakar office,italian agency for development cooperation khartoum office,86.7,90.9,no,italian agency for development cooperation khartoum office,coder_rejected,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Khartoum Office
prime minister s office hungary,prime minister s office italy,86.7,90.6,no,prime minister s office hungary,country_name_swap,Prime Minister's Office - Hungary,Prime Minister's Office - Italy
united nations development programme mali,united nations development programme sudan,86.7,94.9,no,united nations development programme sudan,country_name_swap,United Nations Development Programme Mali,United Nations Development Programme Sudan
united nations development programme mali,united nations development programme syria,86.7,94.9,no,united nations development programme syria,country_name_swap,United Nations Development Programme Mali,United Nations Development Programme Syria
united nations development programme south sudan,united nations development programme syria,86.7,95.0,no,united nations development programme south sudan,differentiating_word,United Nations Development Programme South Sudan,United Nations Development Programme Syria
department of energy united states,department of labor united states,86.6,84.8,no,department of labor united states,coder_rejected,Department of Energy - United States,Department of Labor - United States
italian agency for development cooperation,italian agency for development cooperation dakar office,86.6,100.0,no,italian agency for development cooperation,coder_rejected,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Dakar Office
universita degli studi di macerata,universita degli studi di palermo,86.6,90.6,no,universita degli studi di macerata,country_name_swap,Università degli Studi di Macerata,Università degli Studi di Palermo
universita degli studi di roma tre,universita degli studi di trieste,86.6,90.0,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Roma Tre,Università degli Studi di Trieste
government of chad,government of ghana,86.5,91.4,no,government of chad,country_name_swap,Government of Chad,Government of Ghana
government of haiti,government of mali,86.5,91.4,no,government of mali,country_name_swap,Government of Haiti,Government of Mali
government of italy,government of mali,86.5,90.9,no,government of italy,country_name_swap,Government of Italy,Government of Mali
government of libya,government of mali,86.5,94.1,no,government of mali,country_name_swap,Government of Libya,Government of Mali
government of mali,government of nepal,86.5,87.5,no,government of mali,country_name_swap,Government of Mali,Government of Nepal
amref health africa,amref health africa italy,86.4,100.0,no,amref health africa,differentiating_word,Amref Health Africa,Amref Health Africa - Italy
amref health africa,amref health africa spain,86.4,100.0,no,amref health africa,differentiating_word,Amref Health Africa,AMREF Health Africa - Spain
embassy of the republic of poland in beirut,embassy of the republic of poland in damascus,86.4,92.5,no,embassy of the republic of poland in beirut,country_name_swap,Embassy of the Republic of Poland in Beirut,Embassy of the Republic of Poland in Damascus
embassy of the republic of poland in bogota,embassy of the republic of poland in damascus,86.4,92.7,no,embassy of the republic of poland in damascus,country_name_swap,Embassy of the Republic of Poland in Bogota,Embassy of the Republic of Poland in Damascus
government of puntland,government of scotland,86.4,86.4,no,government of scotland,country_name_swap,Government of Puntland,Government of Scotland
government of puntland,government of thailand,86.4,86.4,no,government of thailand,country_name_swap,Government of Puntland,Government of Thailand
government of scotland,government of thailand,86.4,86.4,no,government of thailand,country_name_swap,Government of Scotland,Government of Thailand
government of south sudan,government of sudan,86.4,88.9,no,government of south sudan,differentiating_word,Government of South Sudan,Government of Sudan
community of galicia spain,community of murcia spain,86.3,84.0,no,community of galicia spain,coder_rejected,Community of Galicia - Spain,Community of Murcia - Spain
