"raw_name","n_states","n_years","first_year","last_year","n_appearances"
"Avocats Sans Frontières Canada",4,7,2014,2020,23
"Center for Internationalization of Higher Education - Norway",3,11,2005,2019,23
"Danish Demining Group",5,11,2008,2018,23
"Embassy of the Netherlands",5,9,2007,2015,23
"Federal Ministry of Defense - Austria",7,13,2005,2020,23
"L'école nationale d'administration publique",3,14,2007,2020,23
"McGill University",5,12,2007,2020,23
"Ministère de l'Économie et des Finances",2,16,2005,2020,23
"Ministry of Education",2,16,2005,2020,23
"Ministry of Foreign Affairs - Lithuania",10,7,2014,2020,23
"Palladium Group",4,11,2010,2020,23
"Royal Canadian Mounted Police",6,15,2005,2020,23
"Siemenpuu Foundation",2,16,2005,2020,23
"Solidaritetsaksjon for utvikling",2,14,2005,2018,23
"Statistics Norway",3,15,2006,2020,23
"The Atlas Alliance",5,14,2005,2020,23
"University of California, Davis",4,7,2014,2020,23
"Via Don Bosco",5,10,2011,2020,23
"Association of European Parliamentarians with Africa",4,12,2009,2020,22
"Broederlijk Delen",3,13,2008,2020,22
"Community of Madrid - Spain",6,5,2016,2020,22
"HELVETAS Swiss Intercooperation",3,10,2011,2020,22
"International Alert",6,15,2006,2020,22
"International Cocoa Organization",5,13,2007,2020,22
"Internews",5,11,2010,2020,22
"Khalifa Bin Zayed Al Nahyan Foundation",8,9,2012,2020,22
"Médecins du Monde Canada",5,8,2013,2020,22
"Media Development Investment Fund",2,14,2007,2020,22
"Ministry of Interior - Spain",4,8,2010,2017,22
"Movimiento por la Paz, el Desarme y la Libertad",3,12,2009,2020,22
"Nathan Associates",3,9,2012,2020,22
"Oxfam Novib",5,14,2005,2018,22
"United Nations Central Emergency Response Fund",9,5,2008,2016,22
"United Nations Children's Fund - United States Committee",8,10,2005,2020,22
"Viestintä ja kehitys -säätiö",2,14,2007,2020,22
"Australian Agency For International Development",4,12,2005,2016,21
"Community of Galicia - Spain",8,9,2012,2020,21
"Community of Navarra - Spain",8,4,2017,2020,21
"Community of Valenciana - Spain",7,4,2017,2020,21
"Croix-Rouge Suisse",7,6,2015,2020,21
"Department of Energy - United States",5,8,2013,2020,21
"DMOS-COMIDE",4,6,2008,2013,21
"EnCompass LLC",6,7,2014,2020,21
"Fondation Jules et Paul-émile Léger",3,13,2005,2020,21
"Geneva Call",6,9,2012,2020,21
"Gvc Gruppo Di Volontariato Civile",2,16,2005,2020,21
"Mellemfolkeligt Samvirke",6,6,2015,2020,21
"Mennonite Central Committee Canada",3,9,2006,2016,21
"Ministry for Foreign Affairs - Iceland",8,10,2011,2020,21
"Ministry of Interior - Czech Republic",8,10,2011,2020,21
"National Academy of Sciences",3,10,2011,2020,21
"Norwegian Aid Committee",2,14,2007,2020,21
"Olof Palme International Center",4,9,2006,2020,21
"Organization of American States",2,16,2005,2020,21
"Partnership for Supply Chain Management",3,7,2009,2015,21
"Swiss Tropical and Public Health Institute",2,16,2005,2020,21
"The Cadmus Group",3,8,2013,2020,21
"Alliance for a Green Revolution in Africa",3,8,2013,2020,20
"Asian Institute of Technology",3,14,2005,2020,20
"Association pour la Promotion de l'Education et de la Formation à l'étranger",2,16,2005,2020,20
"Belgian Investment Company for Developing Countries",4,8,2005,2014,20
"Community of Asturias - Spain",6,6,2015,2020,20
"Embassy of Canada to Cote d'Ivoire",2,14,2005,2018,20
"Financiere Agricole du Quebec Developpement International",2,12,2009,2020,20
"Humanity and Inclusion Canada",6,11,2008,2020,20
"Information Management and Mine Action Programs",4,9,2012,2020,20
"Inter-American Culture and Development Foundation",2,10,2011,2020,20
"MENTOR Initiative",4,9,2010,2020,20
"Ministry of Interior",9,12,2005,2020,20
"Solidarité Union Coopération",2,13,2008,2020,20
"Terra Nuova",2,15,2005,2019,20
"Toronto Leadership Centre",4,5,2005,2009,20
"Trade and Development Agency - United States",5,12,2009,2020,20
"Volontariato Internazionale per lo Sviluppo",3,8,2005,2012,20
"Volunteers for Economic Growth Alliance",4,12,2009,2020,20
"AIDA, Ayuda, Intercambio y Desarrollo",2,11,2007,2020,19
"American University of Beirut",2,16,2005,2020,19
"Community of Cataluña - Spain",7,6,2015,2020,19
"Conflict Dynamics International",4,9,2012,2020,19
"Czech Development Agency",7,9,2012,2020,19
"Doctors of the World Canada",4,6,2015,2020,19
"Fondation Paul Gérin-Lajoie",3,11,2010,2020,19
"Grupo Tragsa",4,10,2008,2020,19
"IMA World Health",3,10,2011,2020,19
"Inter-American Development Bank",2,11,2010,2020,19
"Leger uten grenser Norge",4,12,2005,2016,19
"Ministry of Industry and Energy - Spain",8,12,2005,2020,19
"Organisation Ouest Africaine de la Santé",3,7,2011,2019,19
"Pelastakaa Lapset ry",3,13,2008,2020,19
"SN Power AS",2,15,2006,2020,19
"The Royal Institution for the Advancement of Learning",4,9,2008,2018,19
"United Nations Children's Fund - Canada Committee",5,6,2015,2020,19
