raw_name,cleaned_name
Centre Ivoirien de Recherches économiques et Sociales,centre ivoirien de recherches economiques et sociales
CHF Partners in Rural Development,chf partners in rural development
Comité National de Lutte contre le Sida,comite national de lutte contre le sida
Community of Aragon - Spain,community of aragon spain
Community of Cantabria - Spain,community of cantabria spain
Confederación Colombiana de Organizaciones No Gubernamentales,confederacion colombiana de organizaciones no gubernamentales
Department of the Treasury - United States,department of the treasury united states
Doha Institute for Graduate Studies,doha institute for graduate studies
Embassy of Italy in Beirut,embassy of italy in beirut
Federal Ministry for European and International Affairs - Austria,federal ministry for european and international affairs austria
"Federal Ministry of Education, Science and Research - Austria",federal ministry of education science and research austria
Helen Keller International,helen keller international
High Commission of Canada to Cameroon,high commission of canada to cameroon
Intergovernmental Authority on Development,intergovernmental authority on development
International Criminal Police Organization - INTERPOL,international criminal police organization interpol
Join for Water,join for water
Kvinna till Kvinna Foundation,kvinna till kvinna foundation
Landsorganisasjonen i Norge,landsorganisasjonen i norge
"Ministère des Finances, du Budget et de la Planification Economique - Burundi",ministere des finances du budget et de la planification economique burundi
Ministerio de Ambiente y Desarrollo Sostenible,ministerio de ambiente y desarrollo sostenible
Ministry of Agriculture - France,ministry of agriculture france
