raw_name,cleaned_name
Budapest Business School,budapest business school
Bureau des Droits Humains en Haïti,bureau des droits humains en haiti
Bureau international des Médecins Sans Frontières,bureau international des medecins sans frontieres
Burundi Investment Promotion Authority,burundi investment promotion authority
Byblos Bank,byblos bank
Byblos Bank Africa,byblos bank africa
CABI,cabi
Cámara de Comercio de Cali,camara de comercio de cali
Campaign for Good Governance,campaign for good governance
Campus de Excelencia Internacional del Valle del Ebro,campus de excelencia internacional del valle del ebro
Canadian Commercial Corporation,canadian commercial
Canadian Commercial Corporation - Canada,canadian commercial corporation canada
Canadian Physicians for Aid and Relief,canadian physicians for aid and relief
Canadian Wildlife Service,canadian wildlife service
Carahsoft Technology Corporation,carahsoft technology
CARE Czech Republic,care czech republic
Caribbean - Central American Action,caribbean central american action
Caribbean Community,caribbean community
Caribbean Development Bank,caribbean development bank
Caritas Bouar,caritas bouar
Caritas Finland,caritas finland
Caritas Lebanon,caritas lebanon
Caritas Makeni,caritas makeni
Caritas Menorca,caritas menorca
Caritas Poland,caritas poland
Caritas Torit,caritas torit
Carlsen Media,carlsen media
Catalan Development Cooperation Agency,catalan development cooperation agency
Catholic Medical Mission Board,catholic medical mission board
CEEPCO Contracting,ceepco contracting
Cellule Energie,cellule energie
Cellule Sectorielle de Lutte contre le Vih Sida la Tuberculose et Les Hepatites Virales,cellule sectorielle de lutte contre le vih sida la tuberculose et les hepatites virales
Center for Kirkeligt Udviklingssamarbejde,center for kirkeligt udviklingssamarbejde
Center for Policy Research and Dialogue,center for policy research and dialogue
Center on International Cooperation,center on international cooperation
Central African Republic Humanitarian Fund,central african republic humanitarian fund
Central Statistical Organization,central statistical organization
Centre de Facilitation des Investissements,centre de facilitation des investissements
Centre de Promotion des Femmes Ouvrières,centre de promotion des femmes ouvrieres
Centre for Accountability and Rule of Law,centre for accountability and rule of law
Centre for Economic and Commercial Studies - Spain,centre for economic and commercial studies spain
Centre for Sustainable Development Studies,centre for sustainable development studies
Centre Guilgal,centre guilgal
Centro Internacional de Toledo para la Paz,centro internacional de toledo para la paz
Centro Regional para América Latina,centro regional para america latina
Centro Superior de Hostelería de Galicia,centro superior de hosteleria de galicia
CEPRODILIC - ADEPE,ceprodilic adepe
Challenge Association for the Care and Rehabilitation of Yemeni Disabled Women,challenge association for the care and rehabilitation of yemeni disabled women
Charitable Association For Giving,charitable association for giving
Charitable Society for Social Welfare,charitable society for social welfare
Chemi-Pharm AS,chemi pharm as
ChildFund Ireland,childfund ireland
Christian Union,christian union
Church Mission Society,church mission society
City Council of Terbol - Spain,city council of terbol spain
City of Abidjan,city of abidjan
City of Benghazi,city of benghazi
Civic Democratic Initiative Support Foundation,civic democratic initiative support foundation
ClearSky Power,clearsky power
Climate Advisers Trust,climate advisers trust
Climate Change Fund - Asian Development Bank,climate change fund asian development bank
Close to Africa Foundation,close to africa foundation
Coalition Ivoirienne pour la Cour Pénale Internationale,coalition ivoirienne pour la cour penale internationale
Colectivo Maloka Colombia,colectivo maloka colombia
Colonie des Pionniers de Développement,colonie des pionniers de developpement
Comisión Diocesana de Servicio Pastoral Social,comision diocesana de servicio pastoral social
Comité d'Aide Médicale,comite d aide medicale
Comité d'Aide Médicale et de parrainage sans frontiéres,comite d aide medicale et de parrainage sans frontieres
Commission Nationale de Désarmement Démobilisation Réinsertion,commission nationale de desarmement demobilisation reinsertion
Commonwealth Institute,commonwealth institute
"Commonwealth Trading Partners, Inc.",commonwealth trading partners
Community of Djiguiya,community of djiguiya
Comundo,comundo
Concern Universal,concern universal
Concordis International,concordis international
Conseil pour l’Education et le Développement,conseil pour l’education et le developpement
Conseil pour le Développement Intégré,conseil pour le developpement integre
Conservation Strategy Fund,conservation strategy fund
Convent of Our Lady of Sednaya,convent of our lady of sednaya
Conversion Of Litani Water To South Lebanon For Irrigation And Drinking,conversion of litani water to south lebanon for irrigation and drinking
Cooperate,cooperate
Coordination Régionale des Organisations du Sud-Est,coordination regionale des organisations du sud est
Copenhagen Business School,copenhagen business school
Copper River Information Technology,copper river information technology
"Copper River Information Technology, LLC",copper river information technology
CORE Group,core group
CORFOPAL,corfopal
Corporación Autónoma Regional de Bogotá,corporacion autonoma regional de bogota
Corporación Caribe Afirmativo,corporacion caribe afirmativo
Corporación Centro de Estudios Étnicos,corporacion centro de estudios etnicos
Corporación Centro de Pastoral Afrocolombiana,corporacion centro de pastoral afrocolombiana
Corporación de Arte y Poesía Prometeo,corporacion de arte y poesia prometeo
Corporación de Crédito – Contactar,corporacion de credito – contactar
Corporación Vamos Mujer,corporacion vamos mujer
Côte d'Ivoire Don de gouvernance institutionnel,cote d ivoire don de gouvernance institutionnel
Côte d'Ivoire Energies,cote d ivoire energies
Council of Europe,council of europe
Credit Libanais,credit libanais
Creu Roja Catalunya,creu roja catalunya
Crits dels Nens,crits dels nens
Croix- Rouge Malienne,croix rouge malienne
Croix-Rouge Haïtienne,croix rouge haitienne
Crown Agents Bank,crown agents bank
Crown Agents for Overseas Governments and Administrations,crown agents for overseas governments and administrations
CSAI Foundation - Spain,csai foundation spain
DAL Group,dal group
Dalberg: Global Development Advisors,dalberg global development advisors
Dalbit Petroleum,dalbit petroleum
Dalhousie University,dalhousie university
Damascus Hospital,damascus hospital
Dar Al-Fatwa,dar al fatwa
DCAF's International Security Sector Advisory Team,dcaf s international security sector advisory team
DDRR Project Implementation Unit,ddrr project implementation unit
Defence for Children International,defence for children international
Deir al-Nahr,deir al nahr
Dejusticia,dejusticia
DEKOM,dekom
"Dell, Inc.",dell
Department for Emergency Situations - Romania,department for emergency situations romania
Department for Work and Pensions - United Kingdom,department for work and pensions united kingdom
"Department of Agriculture, Food and the Marine - Ireland",department of agriculture food and the marine ireland
Department of Commerce - United States,department of commerce united states
Department of Family and Community Services - Australia,department of family and community services australia
Department of Fisheries - United States,department of fisheries united states
Department of Health and Social Care - United Kingdom,department of health and social care united kingdom
Department of Immigration and Multicultural and Indigenous Affairs - Australia,department of immigration and multicultural and indigenous affairs australia
"Department of Resources, Energy and Tourism - Australia",department of resources energy and tourism australia
Deseret Women - Sierra Leone,deseret women sierra leone
Development Associates International,development associates international
Diakonie ACT Austria,diakonie act austria
Diamond Helix Medical Assistance Ltd,diamond helix medical assistance
Dignitas International,dignitas international
Diocese of Kayes,diocese of kayes
Diocese of Rumbek,diocese of rumbek
Direction de la Sante Familiale et de la Population,direction de la sante familiale et de la population
Direction General des Impôts,direction general des impots
Direction Nationale de la Population,direction nationale de la population
Directorate-General for International Development Cooperation - Greece,directorate general for international development cooperation greece
Directorate for Nature Management - Norway,directorate for nature management norway
Directorate General for Globalisation and Global Affairs - Italy,directorate general for globalisation and global affairs italy
Directorate of Education and Cultural Affairs - Greece,directorate of education and cultural affairs greece
Directorate of Investment and Company Administration,directorate of investment and company administration
"Directorate of Studies and Student Welfare, Agricultural University of Athens",directorate of studies and student welfare agricultural university of athens
Disaster and Emergency Management Authority - Turkey,disaster and emergency management authority turkey
Drik Picture Library,drik picture library
Dut Jok Youth Foundation,dut jok youth foundation
Eagle Applied Sciences,eagle applied sciences
"Eagle Medical Services, LLC",eagle medical services
East And Horn Of Africa Human Rights Defenders Network,east and horn of africa human rights defenders network
Eastern Africa Journalists Association,eastern africa journalists association
Eastern Farmers Development Association,eastern farmers development association
Eastern Mediterranean Public Health Network,eastern mediterranean public health network
ECCAS COMMISSION,eccas commission
ECODIT,ecodit
Economic Research Forum,economic research forum
Economic Research Forum NPIO,economic research forum npio
Edesia,edesia
Education Above All,education above all
Education Coordination Agency,education coordination agency
Educational Center for Research and Development,educational center for research and development
Egatha Foundation,egatha foundation
Eggpreneur Initiative,eggpreneur initiative
El Escarbabajo SAS,el escarbabajo sas
Election Commission Nepal,election commission nepal
Electric Power Generation Enterprise,electric power generation enterprise
Electricité de Guinée,electricite de guinee
Electricity Supply For Earthquake Affected Areas,electricity supply for earthquake affected areas
Electrification Of The Eastern Provinces,electrification of the eastern provinces
Elephant Care International,elephant care international
Elnefeidi Group,elnefeidi group
Embassy of Greece in Vienna,embassy of greece in vienna
Embassy of Poland in Angola,embassy of poland in angola
Embassy of Qatar in China,embassy of qatar in china
Embassy of Qatar in Mogadishu,embassy of qatar in mogadishu
Embassy of the Czech Republic in Sanáa,embassy of the czech republic in sanaa
Embassy of the Republic of Poland in Amman,embassy of the republic of poland in amman
Embassy of the Republic of Poland in Cairo,embassy of the republic of poland in cairo
Embassy of the Sovereign Military Order of Malta to Hungary,embassy of the sovereign military order of malta to hungary
Emergency Architects,emergency architects
Emergency Management Australia,emergency management australia
Emirates Red Crescent,emirates red crescent
Emirates Thalassemia Society - United Arab Emirates,emirates thalassemia society united arab emirates
Empowerment Through Integration,empowerment through integration
Empresa de Acueducto y Alcantarillado de Pereira S.A. E.S.P,empresa de acueducto y alcantarillado de pereira s a e s p
Empresas municipales de Cali,empresas municipales de cali
Energie du Mali SA,energie du mali sa
Eng. Ghassan Burhan Shmeesa,eng ghassan burhan shmeesa
Entitat Metropolitana de Serveis Hidràulics i Tractament de Residus Barcelona - Spain,entitat metropolitana de serveis hidraulics i tractament de residus barcelona spain
Entité des Nations Unies pour légalité des sexes et lautonomisation de la femme,entite des nations unies pour legalite des sexes et lautonomisation de la femme
Entraide Médicale Internationale,entraide medicale internationale
Environmental Conservation Department,environmental conservation department
Environmental Protection Agency - United States,environmental protection agency united states
Escola d'Administració Pública de Catalunya,escola d administracio publica de catalunya
Estonian Refugee Council,estonian refugee council
Estonian Rescue Board,estonian rescue board
"Estonian Rescue Board, Ministry of Interior - Estonia",estonian rescue board ministry of interior estonia
EU Common Security and Defence Policy,eu common security and defence policy
EU Film Festival,eu film festival
EU Regional Trust Fund in Response to the Syrian Crisis,eu regional trust fund in response to the syrian crisis
Euler Hermes Aktiengesellschaft,euler hermes aktiengesellschaft
European Public Law Center,european public law center
European Union Advisory Mission in the Central African Republic,european union advisory mission in the central african republic
European Union Capacity Building Mission in Somalia,european union capacity building mission in somalia
Exceed Ireland,exceed ireland
Export-Import Bank of Korea,export import bank of korea
EXPORT BRIDGE a.s.,export bridge a s
Export Credit Guarantee Department - United Kingdom,export credit guarantee department united kingdom
Ezo Vocational Training Center,ezo vocational training center
Factory 961,factory 961
Faire Face Cancer,faire face cancer
Fajr Al Amal Charitable Foundation for Social Development,fajr al amal charitable foundation for social development
Fatwa Authority in Baalbek,fatwa authority in baalbek
Federación Colombiana de Apicultores y Criadores de Abejas,federacion colombiana de apicultores y criadores de abejas
Federal Electricity & Water Authority,federal electricity water authority
"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation, and Technology - Austria",federal ministry for climate action environment energy mobility innovation and technology austria
Federal Ministry of Defense - Germany,federal ministry of defense germany
Federal Ministry of the Interior,federal ministry of the interior
Federal Parliament of Nepal,federal parliament of nepal
Fédération Fribourgeoise de coopération internationale,federation fribourgeoise de cooperation internationale
Féderation Nationale des Maires d'Haiti,federation nationale des maires d haiti
Feeder Roads.,feeder roads
Femme Action et Developpement en Centrafrique,femme action et developpement en centrafrique
Feria Internacional del Libro de Bogotá,feria internacional del libro de bogota
Fiduciaria Colombiana de Comercio Exterior S.A.,fiduciaria colombiana de comercio exterior s a
Fiducoldex,fiducoldex
Financial Guard - Italy,financial guard italy
Financial Police - Italy,financial police italy
Finnfund,finnfund
Finnish Meteorological Institute,finnish meteorological institute
Fire Rescue Service - Czech Republic,fire rescue service czech republic
Firefighters Without Borders,firefighters without borders
"FM of Education, Science and Research",fm of education science and research
Folkekirkens Nødhjælp,folkekirkens nødhjælp
Fondation Burotop Iris,fondation burotop iris
Fondation Follereau Luxembourg,fondation follereau luxembourg
Fondation SEROvie,fondation serovie
Fondazione Mariagrazia Balducci Rossi La Fondazione Maria Grazia Balducci Rossi per i più bisognosi ETS,fondazione mariagrazia balducci rossi la fondazione maria grazia balducci rossi per i piu bisognosi ets
Fondo de Inversión para la Paz,fondo de inversion para la paz
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit,fonds voor ontwikkelingssamenwerking socialistische solidariteit
FONiC Trust,fonic trust
Forced School House,forced school house
Forsvarsministeriet,forsvarsministeriet
Forum pour le Renforcement de la Société Civile,forum pour le renforcement de la societe civile
Foundation for Sustainable Development,foundation for sustainable development
Foundation Nepal,foundation nepal
Foundation Rural Energy Services,foundation rural energy services
Fővárosi Vízművek,fovarosi vizmuvek
Fransabank,fransabank
FREE Syria,free syria
Free Syrian Lawyers Association,free syrian lawyers association
Freedom Fields USA,freedom fields usa
Friends of the Islands of Peace,friends of the islands of peace
Fundació Pau i Soldiaritat,fundacio pau i soldiaritat
Fundacio Pro-activa Open Arms,fundacio pro activa open arms
Fundación Acodea,fundacion acodea
Fundación Aluna,fundacion aluna
Fundación Atelopus,fundacion atelopus
Fundación Biotellus,fundacion biotellus
Fundación Centro Internacional de Educaciòn y Desarrollo Humano,fundacion centro internacional de educacion y desarrollo humano
Fundación del Valle,fundacion del valle
Fundación Desarrollo Sostenible,fundacion desarrollo sostenible
Fundación Dr. Ivan Mañero,fundacion dr ivan manero
Fundación el Compromiso,fundacion el compromiso
Fundación El Quinde,fundacion el quinde
Fundación ESAR,fundacion esar
Fundación Futuro Latinoamericano,fundacion futuro latinoamericano
Fundación Global Nature,fundacion global nature
Fundación Herencia Ambiental Caribe,fundacion herencia ambiental caribe
Fundación Mainel,fundacion mainel
Fundación Oiga Vea Colombia Verde,fundacion oiga vea colombia verde
Fundación ONCE América Latina (FOAL),fundacion once america latina foal
Fundación para la Conservación de la Biodiversidad,fundacion para la conservacion de la biodiversidad
Fundación para la Conservación y el Desarrollo Sostenible,fundacion para la conservacion y el desarrollo sostenible
Fundación para la Paz y Seguridad,fundacion para la paz y seguridad
Fundación para las Tecnologías Auxiliares de la Agricultura,fundacion para las tecnologias auxiliares de la agricultura
Fundación Promoción Social de la Cultura,fundacion promocion social de la cultura
Fundación Recon,fundacion recon
Fundación Taller de Solidaridad,fundacion taller de solidaridad
Fundación Vida Silvestre,fundacion vida silvestre
Fundación Voces para la Conciencia y el Desarrollo,fundacion voces para la conciencia y el desarrollo
Fundacja dla Migrantów “Dobry Start”,fundacja dla migrantow “dobry start”
Fundacja Polskie Centrum Pomocy Międzynarodowej,fundacja polskie centrum pomocy miedzynarodowej
Fundasaun Mahein,fundasaun mahein
G-servis Praha,g servis praha
G E T s.r.o.,g e t s r o
GAME,game
Gargaar Relief Development Organization,gargaar relief development organization
Garowe Municipality,garowe municipality
Gbalahun Development Union,gbalahun development union
General Corporation for Roads and Bridges,general corporation for roads and bridges
General Union of Handicapped,general union of handicapped
Geomin,geomin
Gezira Scheme Authority,gezira scheme authority
Girl Guides Association,girl guides association
Gissella Pineda,gissella pineda
Global Aid Network,global aid network
Global Citizen,global citizen
Global Development Research Group,global development research group
Global Leadership Foundation,global leadership foundation
Global Water Partnership-Mediterranean,global water partnership mediterranean
Gobernación de la Guajira,gobernacion de la guajira
Good Nutrition for All,good nutrition for all
Government of Benin,government of benin
Government of Gambia,government of gambia
Government of Guinea,government of guinea
Government of Jubbaland,government of jubbaland
Government of Liberia,government of liberia
Government of Luxembourg,government of luxembourg
Government of Mauritania,government of mauritania
Government of Niger,government of niger
Government of Puntland,government of puntland
Government of Saudi Arabia,government of saudi arabia
Government of Slovakia,government of slovakia
GovX Digital,govx digital
Gpe Rech Formation Fem Action,gpe rech formation fem action
Grand Hotel Villa,grand hotel villa
Greater Mvolo Youth for Peace and Grinding Mills Enterprise,greater mvolo youth for peace and grinding mills enterprise
Greek Atomic Energy Commission,greek atomic energy commission
Greek Orthodox Archdiocese Lattakia,greek orthodox archdiocese lattakia
Green for Growth Fund,green for growth fund
Groupe d'Appui au Développement Rural,groupe d appui au developpement rural
Grup Cultural Garrigues,grup cultural garrigues
Guardia Indígena,guardia indigena
Gyro AS,gyro as
Habitat Bank LLC,habitat bank
Habitat for Humanity Ireland,habitat for humanity ireland
Hadassa Women Development Initiatives,hadassa women development initiatives
Hadramout Fiberglass Factory,hadramout fiberglass factory
Håkon Gullvåg's Terra Sancta exhibition,hakon gullvag s terra sancta exhibition
Hamad Bin Khalifa University,hamad bin khalifa university
Hamad Bin Khalifa University College of Health and Life Sciences,hamad bin khalifa university college of health and life sciences
Hamad Bin Khalifa University College of Law,hamad bin khalifa university college of law
Hamad Medical Corporation,hamad medical
Hand by Hand Foundation for Development,hand by hand foundation for development
Hariri Foundation,hariri foundation
Hawk Mountain Sanctuary,hawk mountain sanctuary
Healthy Entrepreneurs,healthy entrepreneurs
Heart to Heart International,heart to heart international
Heavily Indebted Poor Countries,heavily indebted poor countries
Heifer Project International Haiti,heifer project international haiti
Heightening Of The Rosairs Dam Project,heightening of the rosairs dam project
Hellenic Army General Staff - Greece,hellenic army general staff greece
Hellenic Police - Greece,hellenic police greece
"High Commission of Canada in Ghana, in Accra",high commission of canada in ghana in accra
Hiraal Institute,hiraal institute
Hogg Robinson Nordic AS,hogg robinson nordic as
Holland House Hargeisa,holland house hargeisa
Holy Spirit Association for Development,holy spirit association for development
"Honorary Consulate in Yaounde, Cameroon - Greece",honorary consulate in yaounde cameroon greece
Horizon Ouvert,horizon ouvert
Hospital Albert Schweitzer Haiti,hospital albert schweitzer haiti
Houston Zoo,houston zoo
HS Group,hs group
"Human Interactions with and Constructions of the Environment, Oxford Brookes University",human interactions with and constructions of the environment oxford brookes university
Human Needs for Development,human needs for development
Human Relief Foundation,human relief foundation
Human Rights and Development Foundation,human rights and development foundation
Human Rights Information and Training Center,human rights information and training center
Human Rights Solidarity,human rights solidarity
Humanitarian Coalition,humanitarian coalition
Hungarian University of Agriculture and Life Sciences,hungarian university of agriculture and life sciences
Hunt Alternatives Fund,hunt alternatives fund
IA,ia
Ibba Youth Agro Business,ibba youth agro business
Icelandic Church Aid,icelandic church aid
Iftiin Foundation,iftiin foundation
IGAD South Sudan Office,igad south sudan office
Ikirezi Natural Products,ikirezi natural products
Industri Energi,industri energi
Industrial Development Bank,industrial development bank
Information International,information international
Iniciativa Latinoamericana por los Datos Abiertos,iniciativa latinoamericana por los datos abiertos
Initiative de la Sociéte Civile,initiative de la societe civile
Innpulsa,innpulsa
InSight Crime,insight crime
Institut Català Internacional per la Pau,institut catala internacional per la pau
Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales,institut centrafricain des statistiques et des etudes economiques et sociales
Institut de Drets Humans de Catalunya,institut de drets humans de catalunya
"Institut des Hautes Études Scientifiques
Université Paris-Saclay",institut des hautes etudes scientifiques universite paris saclay
Institut National de Formation en Sciences de la Santé,institut national de formation en sciences de la sante
Institut Ungu,institut ungu
Institut zur Cooperation bei Entwicklungs-Projekte,institut zur cooperation bei entwicklungs projekte
Institute for Democracy in Africa,institute for democracy in africa
"Institute for Development, Ecology, Conservation and Cooperation",institute for development ecology conservation and cooperation
Institute for Human Rights and Business Vietnam,institute for human rights and business vietnam
Institute for Security Studies,institute for security studies
Institute for the Development of Civil Society,institute for the development of civil society
Institute of APEC Collaborative Education - South Korea,institute of apec collaborative education south korea
Instituto Sindical de Cooperación al Desarrollo,instituto sindical de cooperacion al desarrollo
Instituto Tecnológico y de Estudios Superiores de Monterrey,instituto tecnologico y de estudios superiores de monterrey
INSTITUUT CLINGENDAEL,instituut clingendael
Integrated Livestock Development Association,integrated livestock development association
Inter-American Foundation - United States,inter american foundation united states
INTERARTS Foundation for international cultural cooperation,interarts foundation for international cultural cooperation
International Bridges to Justice,international bridges to justice
International Bureau For Children's Right,international bureau for children s right
International Federation of Action by Christians for the Abolition of Torture,international federation of action by christians for the abolition of torture
International Forum for Democratic Islam,international forum for democratic islam
International HIV Alliance,international hiv alliance
International Institute of Humanitarian Law,international institute of humanitarian law
International Organization for Migration Ireland,international organization for migration ireland
International Organization for Migration Timor-Leste,international organization for migration timor leste
International Research and Exchanges Board,international research and exchanges board
International Trade Center,international trade center
Intwarira Ku Maguru Zigahaza Imiryango Cooperative,intwarira ku maguru zigahaza imiryango cooperative
Iraqi Mine and Unexploded Ordinance Clearance Organization,iraqi mine and unexploded ordinance clearance organization
IREX Europe,irex europe
Iriba,iriba
Irish Council for Overseas Study,irish council for overseas study
Irish Human Rights and Equality Commission,irish human rights and equality commission
Irish Medical Aid for Palestinians,irish medical aid for palestinians
Irrigation Development Programme In Bani Bassin And Selingue (Phase 1),irrigation development programme in bani bassin and selingue phase 1
Islamic Youth of Burundi,islamic youth of burundi
Istituto Pace Sviluppo Innovazione ACLI del Trentino,istituto pace sviluppo innovazione acli del trentino
Izzyworks,izzyworks
Jambo Safaris,jambo safaris
Jane Goodall Institute,jane goodall institute
JFTL,jftl
Jimbere Magazine,jimbere magazine
Jimmy Greene,jimmy greene
Jordanian National Forum for Women,jordanian national forum for women
JRS West Africa Office,jrs west africa office
Judiciary of Colombia,judiciary of colombia
Julius Baer Foundation,julius baer foundation
Jurimedia,jurimedia
Justice Studies Centre of the Americas,justice studies centre of the americas
Kafalat,kafalat
Karama Organization,karama organization
Kark-Riyak Road,kark riyak road
Katholieke Universsiteit Leuven,katholieke universsiteit leuven
Kayes-Bafoulabe Road Project,kayes bafoulabe road project
Kazoza keza Aid2Burundi,kazoza keza aid2burundi
Ke-Macina Irrigation (First Stage),ke macina irrigation first stage
KHA-DIVERS,kha divers
Khalifa bin Zayed Al Nahyan Institute for Vocational Education in Lebanon - United Arab Emirates,khalifa bin zayed al nahyan institute for vocational education in lebanon united arab emirates
KHARTOUM 2 SUPPLIERS,khartoum 2 suppliers
Khotwa,khotwa
Kilimanjaro Centre for Community Ophthalmology,kilimanjaro centre for community ophthalmology
King Abdullah International Foundation for Humanitarian Activities - Saudi Arabia,king abdullah international foundation for humanitarian activities saudi arabia
King Mahendra Trust for Nature Conservation,king mahendra trust for nature conservation
Kluge Advokatfirma,kluge advokatfirma
Kokkyo naki Kodomotachi,kokkyo naki kodomotachi
Korea Agency for Digital Opportunity and Promotion,korea agency for digital opportunity and promotion
Korea Food for the Hungry International,korea food for the hungry international
Korea Internet and Security Agency,korea internet and security agency
Korean Oriented Medical Services Team Abroad,korean oriented medical services team abroad
Korean Rural Community Corporation,korean rural community
Korean University Council for Social Service,korean university council for social service
Koufieh,koufieh
Kozi Honey Supplies,kozi honey supplies
Kristen Idrettskontakt,kristen idrettskontakt
Kroathai AS,kroathai as
KSrelief - Saudi Arabia,ksrelief saudi arabia
Kultur- und Sprachmittler e.V.,kultur und sprachmittler e v
Kuwait Red Crescent Society,kuwait red crescent society
l’Institut des Affaires Publiques,l’institut des affaires publiques
La Chaire Raoul-Dandurand en études stratégiques et diplomatiques,la chaire raoul dandurand en etudes strategiques et diplomatiques
La Référence Plus,la reference plus
Laboratoire National de la Sante,laboratoire national de la sante
LAVARIS s.r.o.,lavaris s r o
Learning Center for Democracy and Human Rights,learning center for democracy and human rights
Lebanese Parliamentary Monitor,lebanese parliamentary monitor
Lebanese Red Cross,lebanese red cross
Lebanon (explosions),lebanon explosions
Lebanon Mountain Trail Association,lebanon mountain trail association
Ledmark Industries,ledmark industries
Libya Human and Political Development Forum,libya human and political development forum
Libyan Organization for Development,libyan organization for development
Life for Relief and Development,life for relief and development
Ligne de Crédit de la Banque Malienne de Solidarité,ligne de credit de la banque malienne de solidarite
Ligue des Droits de la Personne dans la Region des Grands Lacs,ligue des droits de la personne dans la region des grands lacs
Ligue Tchadienne des Droits de l'Homme,ligue tchadienne des droits de l homme
Liloma Agricultural Cooperative,liloma agricultural cooperative
Local Coordination Committees of Syria,local coordination committees of syria
Local supplier Colombia,local supplier colombia
Loka Ahlinn,loka ahlinn
LONDO+ Project Implementation Unit,londo+ project implementation unit
LR Group,lr group
Luftfartsverket - Sweden,luftfartsverket sweden
"Lumbee Tribe Enterprises, LLC",lumbee tribe enterprises
Luminance Foundation for charitable projects,luminance foundation for charitable projects
Luzeiro,luzeiro
MADAD Fund,madad fund
Mahidu Women's Development Association,mahidu women s development association
Maison de la Presse du Mali,maison de la presse du mali
Management Sciences for Development,management sciences for development
Manhal Charitable Organization,manhal charitable organization
Marga Institute,marga institute
Marib General Hospital,marib general hospital
Maronite Catholic Patriarchate of Antioch,maronite catholic patriarchate of antioch
Marqaati,marqaati
Marsyangdi Hydro Electric Development Board,marsyangdi hydro electric development board
Marwai Dam,marwai dam
MASS Design Group,mass design group
Matei Initiative Empowerment Program for Sustainable Development,matei initiative empowerment program for sustainable development
"Matrix International Logistics, Inc.",matrix international logistics
Mawazo Institute,mawazo institute
MDF Training & Consultancy,mdf training consultancy
MEDCITIES Network,medcities network
Médecins Sans Frontières Canada,medecins sans frontieres canada
Medexa Health Insurance Management,medexa health insurance management
Medvind Eventbyrå AS,medvind eventbyra as
Melkite Greek Catholic Church,melkite greek catholic church
"Mercantile Marine, Aegean and Island Policy Ministry - Greece",mercantile marine aegean and island policy ministry greece
Metro Sabanas S.A.S,metro sabanas s a s
Metsämörriohjaajat,metsamorriohjaajat
Middle East Council on Global Affairs,middle east council on global affairs
Middle East Institute,middle east institute
Midwest Canvas Corporation,midwest canvas
Military Industry Corporation,military industry
Mimsi International,mimsi international
Min Haqqi Organization,min haqqi organization
Ministère de l'éducation primaire et secondaire,ministere de l education primaire et secondaire
Ministère de l'Enseignement supérieur et de la Recherche scientifique,ministere de l enseignement superieur et de la recherche scientifique
Ministere de l'Environnment et de l'Eau,ministere de l environnment et de l eau
Ministère de l’Action humanitaire et de la Réconciliation Nationale,ministere de l’action humanitaire et de la reconciliation nationale
Ministère de l’Environnement,ministere de l’environnement
Ministere De La Defense Nationale Et Des Anciens Combattants - Burundi,ministere de la defense nationale et des anciens combattants burundi
Ministère de la Jeunesse et des Sports,ministere de la jeunesse et des sports
Ministère de la Santé Publique et de la Population,ministere de la sante publique et de la population
"Ministère de la Santé Publique, Hygiène et Préventions",ministere de la sante publique hygiene et preventions
Ministère de la Sécurité et de la Protection Civile,ministere de la securite et de la protection civile
Ministère des Mines et de la Géologie,ministere des mines et de la geologie
Ministère du Tourisme,ministere du tourisme
Ministério da Mulher Família e Solidariedade Social,ministerio da mulher familia e solidariedade social
Ministério da Solidariedade Social e Inclusão,ministerio da solidariedade social e inclusao
Ministério Das Obras Publicas Habitacão e Urbanismo,ministerio das obras publicas habitacao e urbanismo
Ministerio de Agricultura y Desarrollo Rural,ministerio de agricultura y desarrollo rural
"Ministerio de Ambiente, Vivienda y Desarrollo Territorial",ministerio de ambiente vivienda y desarrollo territorial
Ministerio de Economía y Finanzas - Spain,ministerio de economia y finanzas spain
Ministerio de Justicia y del Derecho,ministerio de justicia y del derecho
Ministerio de Transporte,ministerio de transporte
Ministério dos Transportes e Comunicações,ministerio dos transportes e comunicacoes
Ministre de la Culture et de la Communication,ministre de la culture et de la communication
Ministre de la Promotion de la Femme de la Famille et de la Protection de l’Enfant,ministre de la promotion de la femme de la famille et de la protection de l’enfant
"Ministre des Eaux, Forêts, Chasse et Pêche",ministre des eaux forets chasse et peche
Ministro de Asuntos Exteriores,ministro de asuntos exteriores
Ministry of Cooperatives and Rural Development,ministry of cooperatives and rural development
Ministry of Defense - Slovenia,ministry of defense slovenia
"Ministry of Employment, Labour and Social Security - Sierra Leone",ministry of employment labour and social security sierra leone
Ministry of Enterprises and Made in Italy - Italy,ministry of enterprises and made in italy italy
Ministry of Family and Human Rights Development,ministry of family and human rights development
Ministry of Finance - DRC,ministry of finance drc
Ministry of Finance and Economic Development - Somaliland,ministry of finance and economic development somaliland
Ministry of Finance of Somalia,ministry of finance of somalia
Ministry of Foreign Affairs - Kazakhstan,ministry of foreign affairs kazakhstan
Ministry of Health - Angola,ministry of health angola
Ministry of Health - Czech Republic,ministry of health czech republic
Ministry of Health - Jordan,ministry of health jordan
Ministry of Health - Libya,ministry of health libya
Ministry of Health - Puntland,ministry of health puntland
