tag,seed,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
17,140,density,+-4,-0.001976776939485895,0.00589546610094678,0.7412715438426912,171,19,-0.013531890497341582,0.009578336618369793
17,140,density,+-5,-0.0031140084475357686,0.006596133669581219,0.642531022830291,209,19,-0.01604243043991496,0.009814413544843421
17,140,density,all,-0.013114309516376021,0.009750177995586733,0.19531752665893704,304,19,-0.03222465838772602,0.005996039354973977
18,141,density,+-2,-0.0011095366904667614,0.0039289004897983875,0.7808554662041356,95,19,-0.0088101816504716,0.006591108269538078
18,141,density,+-3,-0.0022017131347523014,0.004836518428800215,0.654389152828188,133,19,-0.011681289255200723,0.007277862985696119
18,141,density,+-4,-0.004327151441482275,0.00558727579533445,0.44870979170766134,171,19,-0.015278212000337799,0.006623909117373248
18,141,density,+-5,-0.005781218122050988,0.006105418012209928,0.35622951022776095,209,19,-0.017747837425982446,0.006185401181880472
18,141,density,all,-0.015867502185569128,0.009487227729530109,0.1117147849187201,304,19,-0.03446246853544814,0.002727464164309884
19,142,density,+-2,2.855084999767599e-4,0.004201901253746137,0.9465765559491408,95,19,-0.007950217957365668,0.008521234957319188
19,142,density,+-3,-0.0012495837334202493,0.005007938194793495,0.8057833672724253,133,19,-0.011065142595215498,0.008565975128375002
19,142,density,+-4,-0.0019901504367520473,0.006020915450090887,0.7448087102512029,171,19,-0.013791144718930186,0.009810843845426092
19,142,density,+-5,-0.0029235639396374856,0.006713448016779585,0.6683920688070467,209,19,-0.016081922052525472,0.0102347941732505
19,142,density,all,-0.013631034305761479,0.010168856985698678,0.1967677012196658,304,19,-0.03356199399773088,0.006299925386207928
20,143,density,+-2,-6.112606757016514e-4,0.0037341243199808857,0.8717945765314193,95,19,-0.007930144342864187,0.006707622991460885
20,143,density,+-3,-0.0013035098136726494,0.004388415757565533,0.769840861213921,133,19,-0.009904804698501095,0.007297785071155796
20,143,density,+-4,-0.0034057330421178355,0.005548284899674569,0.5470042653424163,171,19,-0.01428037144547999,0.00746890536124432
20,143,density,+-5,-0.004126919241662418,0.00633355503842137,0.5228950587670869,209,19,-0.0165406871169683,0.008286848633643467
20,143,density,all,-0.014826828419782313,0.009965258473476624,0.1540995197226264,304,19,-0.034358735027796496,0.004705078188231869
21,144,density,+-2,-0.0010655528726372318,0.0036299045442658704,0.7724607054337762,95,19,-0.008180165779398337,0.006049060034123874
21,144,density,+-3,-0.0014323181405730145,0.004957962675724517,0.7759644132085677,133,19,-0.011149924984993068,0.008285288703847038
21,144,density,+-4,-0.0033794601916770518,0.005371532063601659,0.5371592857976916,171,19,-0.013907663036336303,0.007148742652982199
21,144,density,+-5,-0.004774839938110085,0.006184262171224623,0.4500769824931249,209,19,-0.016895993793710345,0.007346313917490177
21,144,density,all,-0.015107821171986727,0.009641380699216532,0.13453133597100966,304,19,-0.03400492734245113,0.003789284998477676
22,145,density,+-2,1.7097601904230613e-4,0.004257457870047397,0.9684083053215922,95,19,-0.008173641406250593,0.008515593444335204
22,145,density,+-3,-0.0025570892207590376,0.004418255909958116,0.5699261788512795,133,19,-0.011216870804276946,0.00610269236275887
22,145,density,+-4,-0.004935429041816353,0.004950793727040434,0.3320283316857888,171,19,-0.014638984746815603,0.004768126663182898
22,145,density,+-5,-0.006020945539249827,0.005843923367867389,0.3165192097993702,209,19,-0.01747503534026991,0.005433144261770256
22,145,density,all,-0.016481741833593307,0.00940641330453245,0.09676049135466973,304,19,-0.03491831191047691,0.0019548282432902964
23,146,density,+-2,8.345048482387299e-4,0.004388896071916122,0.851327281465355,95,19,-0.00776773145271687,0.009436741149194329
23,146,density,+-3,-5.17677697884757e-4,0.00546223449557594,0.925541433579933,133,19,-0.011223657309213599,0.010188301913444086
